,Datetime,Open,High,Low,Close,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,RSI_14_A_80,RSI_14_B_20,MA10,MA20,MA50,macds1,macdss1,buy_pt,sell_pt,buy_pt_s1,sell_pt_s1,macdh_s1,macdh_trend_abv_up,macdh_trend_abv_dn,macdh_trend_blw_up,macdh_trend_blw_dn,buy_price,Buy,Buy_zero,Buy_count_tmp,Buy_count,Buy_count_compare,Sell,Sell_zero,Sell_count_tmp,Sell_count,Sell_count_compare
0,2022-08-18 00:01:00,13421.0,13421.0,13421.0,13421.0,,,,,0,0,,,,,,n,n,,,,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
1,2022-08-18 00:02:00,13422.25,13422.25,13422.25,13422.25,,,,,0,0,,,,,,n,n,n,n,,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
2,2022-08-18 00:03:00,13410.5,13410.5,13410.5,13410.5,,,,,0,0,,,,,,n,n,n,n,,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
3,2022-08-18 00:04:00,13415.75,13415.75,13415.75,13415.75,,,,,0,0,,,,,,n,n,n,n,,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
4,2022-08-18 00:05:00,13427.25,13427.25,13427.25,13427.25,,,,,0,0,,,,,,n,n,n,n,,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
5,2022-08-18 00:06:00,13425.5,13425.5,13425.5,13425.5,,,,,0,0,,,,,,n,n,n,n,,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
6,2022-08-18 00:07:00,13424.75,13424.75,13424.75,13424.75,,,,,0,0,,,,,,n,n,n,n,,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
7,2022-08-18 00:08:00,13426.25,13426.25,13426.25,13426.25,,,,,0,0,,,,,,n,n,n,n,,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
8,2022-08-18 00:09:00,13427.5,13427.5,13427.5,13427.5,,,,,0,0,,,,,,n,n,n,n,,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
9,2022-08-18 00:10:00,13426.5,13426.5,13426.5,13426.5,,,,,0,0,13422.725,,,,,n,n,n,n,,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
10,2022-08-18 00:11:00,13432.25,13432.25,13432.25,13432.25,,,,,0,0,13423.85,,,,,n,n,n,n,,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
11,2022-08-18 00:12:00,13432.5,13432.5,13432.5,13432.5,,,,,0,0,13424.875,,,,,n,n,n,n,,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
12,2022-08-18 00:13:00,13432.0,13432.0,13432.0,13432.0,,,,,0,0,13427.025,,,,,n,n,n,n,,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
13,2022-08-18 00:14:00,13435.0,13435.0,13435.0,13435.0,,,,,0,0,13428.95,,,,,n,n,n,n,,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
14,2022-08-18 00:15:00,13443.5,13443.5,13443.5,13443.5,,,,70.83333333333334,0,0,13430.575,,,,,n,n,n,n,,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
15,2022-08-18 00:16:00,13443.25,13443.25,13443.25,13443.25,,,,70.48192771084338,0,0,13432.35,,,,,n,n,n,n,,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
16,2022-08-18 00:17:00,13451.75,13451.75,13451.75,13451.75,,,,75.01960784313727,0,0,13435.05,,,,,n,n,n,n,,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
17,2022-08-18 00:18:00,13443.5,13443.5,13443.5,13443.5,,,,64.63410905332807,0,0,13436.775,,,,,n,n,n,n,,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
18,2022-08-18 00:19:00,13444.0,13444.0,13444.0,13444.0,,,,64.95079694336631,0,0,13438.425,,,,,n,n,n,n,,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
19,2022-08-18 00:20:00,13439.5,13439.5,13439.5,13439.5,,,,59.76384112815133,0,0,13439.725,13431.225,,,,n,n,n,n,,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
20,2022-08-18 00:21:00,13435.75,13435.75,13435.75,13435.75,,,,55.767069575551965,0,0,13440.075,13431.9625,,,,n,n,n,n,,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
21,2022-08-18 00:22:00,13432.5,13432.5,13432.5,13432.5,,,,52.490720737183985,0,0,13440.075,13432.475,,,,n,n,n,n,,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
22,2022-08-18 00:23:00,13432.5,13432.5,13432.5,13432.5,,,,52.490720737183985,0,0,13440.125,13433.575,,,,n,n,n,n,,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
23,2022-08-18 00:24:00,13430.75,13430.75,13430.75,13430.75,,,,50.633042923572724,0,0,13439.7,13434.325,,,,n,n,n,n,,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
24,2022-08-18 00:25:00,13433.0,13433.0,13433.0,13433.0,,,,52.93913638175385,0,0,13438.65,13434.6125,,,,n,n,n,n,,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
25,2022-08-18 00:26:00,13436.0,13436.0,13436.0,13436.0,,,,55.89734437549131,0,0,13437.925,13435.1375,,,,n,n,n,n,,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
26,2022-08-18 00:27:00,13435.0,13435.0,13435.0,13435.0,,,,54.66386309685998,0,0,13436.25,13435.65,,,,n,n,n,n,,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
27,2022-08-18 00:28:00,13441.0,13441.0,13441.0,13441.0,,,,60.32147143432179,0,0,13436.0,13436.3875,,,,n,n,n,n,,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
28,2022-08-18 00:29:00,13442.25,13442.25,13442.25,13442.25,,,,61.402146103433076,0,0,13435.825,13437.125,,,,n,n,n,n,,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
29,2022-08-18 00:30:00,13446.25,13446.25,13446.25,13446.25,,,,64.71403719521054,0,0,13436.5,13438.1125,,,,n,n,n,n,,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
30,2022-08-18 00:31:00,13448.5,13448.5,13448.5,13448.5,,,,66.45751084245607,0,0,13437.775,13438.925,,,,n,n,n,n,,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
31,2022-08-18 00:32:00,13452.25,13452.25,13452.25,13452.25,,,,69.18988499145286,0,0,13439.75,13439.9125,,,,n,n,n,n,,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
32,2022-08-18 00:33:00,13452.5,13452.5,13452.5,13452.5,,,,69.3690276796585,0,0,13441.75,13440.9375,,7.7858549632128415,6.520886571700329,n,n,n,n,,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
33,2022-08-18 00:34:00,13462.75,13462.75,13462.75,13462.75,7.7858549632128415,1.2649683915125127,6.520886571700329,75.62642281940072,0,0,13444.95,13442.325,,8.411861329081148,6.899081523176493,n,n,n,n,,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
34,2022-08-18 00:35:00,13462.5,13462.5,13462.5,13462.5,8.411861329081148,1.512779805904655,6.899081523176493,75.22279315222991,0,0,13447.9,13443.275,,9.06571974873259,7.332409168287713,n,n,n,n,1.2649683915125127,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
35,2022-08-18 00:36:00,13465.75,13465.75,13465.75,13465.75,9.06571974873259,1.7333105804448774,7.332409168287713,76.9454331399736,0,0,13450.875,13444.4,,8.577253043344172,7.581377943299005,n,n,n,n,1.512779805904655,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
36,2022-08-18 00:37:00,13454.5,13454.5,13454.5,13454.5,8.577253043344172,0.9958751000451667,7.581377943299005,61.10773071281053,0,0,13452.825,13444.5375,,8.515608154015354,7.768223985442274,n,n,n,n,1.7333105804448774,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
37,2022-08-18 00:38:00,13459.75,13459.75,13459.75,13459.75,8.515608154015354,0.7473841685730793,7.768223985442274,64.75371005712056,0,0,13454.7,13445.35,,8.489925028141442,7.912564193982108,n,n,n,n,0.9958751000451667,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
38,2022-08-18 00:39:00,13461.25,13461.25,13461.25,13461.25,8.489925028141442,0.5773608341593341,7.912564193982108,65.74187877316335,0,0,13456.6,13446.2125,,8.592424857975857,8.048536326780859,n,n,n,n,0.7473841685730793,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
39,2022-08-18 00:40:00,13464.0,13464.0,13464.0,13464.0,8.592424857975857,0.5438885311949981,8.048536326780859,67.53871900635619,0,0,13458.375,13447.4375,,8.61469766074697,8.161768593574081,n,n,n,n,0.5773608341593341,n,n,n,n,NaN,NaN,0,0,0,,,0,0,0,
